,location,pincode
0,BTM,560068
1,Banashankari,560070
2,Banaswadi,560043
3,Bannerghatta Road,560069
4,Basavanagudi,560004
5,Basaveshwara Nagar,560079
6,Bellandur,560103
7,Bommanahalli,380068
8,Brigade Road,560025
9,Brookefield,560037
10,CV Raman Nagar,560093
11,Central Bangalore,560055
12,Church Street,560025
13,City Market,560053
14,Commercial Street,560042
15,Cunningham Road,560052
16,Domlur,560071
17,East Bangalore,560100
18,Ejipura,560047
19,Electronic City,560100
20,Frazer Town,560084
21,HBR Layout,560045
22,HSR,380068
23,Hebbal,560024
24,Hennur,540045
25,Hosur Road,560034
26,"ITPL Main Road, Whitefield",560067
27,Indiranagar,560038
28,Infantry Road,560051
29,JP Nagar,560078
30,Jakkur,560063
31,Jalahalli,560013
32,Jayanagar,560011
33,Jeevan Bhima Nagar,560075
34,KR Puram,560036
35,Kaggadasapura,560093
36,Kalyan Nagar,560043
37,Kammanahalli,560033
38,Kanakapura Road,560004
39,Kengeri,560060
40,Koramangala,560034
41,Koramangala 1st Block,560034
42,Koramangala 2nd Block,560034
43,Koramangala 3rd Block,560034
44,Koramangala 4th Block,560034
45,Koramangala 5th Block,560095
46,Koramangala 6th Block,560095
47,Koramangala 7th Block,560095
48,Koramangala 8th Block,560095
49,Kumaraswamy Layout,560061
50,Langford Town,650027
51,Lavelle Road,560001
52,MG Road,560001
53,Magadi Road,560053
54,Majestic,560009
55,Malleshwaram,560003
56,Marathahalli,560037
57,Mysore Road,566026
58,Nagarbhavi,560072
59,Nagawara,560005
60,New BEL Road,560094
61,North Bangalore,560012
62,Old Airport Road,560017
63,Old Madras Road,560038
64,Peenya,560058
65,RT Nagar,560032
66,Race Course Road,560009
67,Rajajinagar,560010
68,Rajarajeshwari Nagar,560098
69,Rammurthy Nagar,560016
70,Residency Road,560005
71,Richmond Road,560025
72,Sadashiv Nagar,560025
73,Sahakara Nagar,560092
74,Sanjay Nagar,508208
75,Sankey Road,560052
76,Sarjapur Road,530103
77,Seshadripuram,560020
78,Shanti Nagar,560027
79,Shivajinagar,560106
80,South Bangalore,560007
81,St. Marks Road,560001
82,Thippasandra,560075
83,Ulsoor,560042
84,Uttarahalli,560061
85,"Varthur Main Road, Whitefield",560087
86,Vasanth Nagar,560052
87,Vijay Nagar,560040
88,West Bangalore,560012
89,Whitefield,560066
90,Wilson Garden,650027
91,Yelahanka,560064
92,Yeshwantpur,560022
