online_order,book_table,rate,location,rest_type,cuisines,type,cost_per_person
Yes,Yes,4.1,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",Buffet,400.0
Yes,No,4.1,Banashankari,Casual Dining,"Chinese, North Indian, Thai",Buffet,400.0
Yes,No,3.8,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Buffet,400.0
No,No,3.7,Banashankari,Quick Bites,"South Indian, North Indian",Buffet,150.0
No,No,3.8,Basavanagudi,Casual Dining,"North Indian, Rajasthani",Buffet,300.0
Yes,No,3.8,Basavanagudi,Casual Dining,North Indian,Buffet,300.0
No,No,3.6,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",Buffet,400.0
Yes,Yes,4.6,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",Cafes,300.0
Yes,No,4.0,Banashankari,Cafe,"Cafe, Italian, Continental",Cafes,350.0
Yes,No,4.2,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",Cafes,275.0
Yes,No,4.1,Banashankari,Cafe,Cafe,Cafes,250.0
Yes,Yes,4.2,Banashankari,Cafe,"Cafe, Italian, Continental",Cafes,300.0
Yes,Yes,4.2,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Cafes,250.0
No,No,4.0,Banashankari,Cafe,"Cafe, Continental",Cafes,225.0
Yes,No,3.8,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",Cafes,400.0
Yes,No,3.8,Banashankari,Cafe,Cafe,Cafes,325.0
Yes,No,3.9,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",Cafes,400.0
Yes,No,3.8,Banashankari,Cafe,"Chinese, Cafe, Italian",Cafes,350.0
No,No,3.9,Banashankari,Cafe,"Cafe, Italian, American",Cafes,150.0
Yes,No,3.1,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",Cafes,200.0
Yes,No,3.0,Banashankari,Cafe,"Cafe, French, North Indian",Cafes,200.0
Yes,No,3.7,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",Cafes,250.0
No,No,3.6,Banashankari,Cafe,"Cafe, Fast Food",Cafes,450.0
Yes,No,3.6,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",Cafes,300.0
No,No,3.7,Banashankari,Cafe,Cafe,Cafes,150.0
No,No,3.2,Banashankari,Cafe,"Cafe, Bakery",Cafes,300.0
Yes,No,3.8,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",Cafes,100.0
No,No,3.3,Banashankari,Cafe,"Cafe, Fast Food, Beverages",Cafes,250.0
No,No,3.3,Banashankari,Cafe,"Cafe, Fast Food",Cafes,275.0
No,No,3.8,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",Cafes,275.0
Yes,No,4.0,Basavanagudi,Cafe,"Cafe, Italian",Cafes,300.0
Yes,No,2.8,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",Delivery,250.0
Yes,No,3.9,Banashankari,Delivery,"Bakery, Desserts",Delivery,250.0
Yes,No,3.9,Banashankari,Delivery,Pizza,Delivery,375.0
Yes,No,4.2,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",Delivery,250.0
Yes,No,3.9,Banashankari,Delivery,Biryani,Delivery,325.0
Yes,No,2.8,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",Delivery,200.0
Yes,No,4.2,Banashankari,Casual Dining,"Chinese, Thai, Momos",Delivery,300.0
Yes,No,4.4,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",Delivery,375.0
Yes,No,4.0,Banashankari,Quick Bites,South Indian,Delivery,75.0
Yes,No,3.8,Basavanagudi,Quick Bites,"Street Food, Fast Food",Delivery,100.0
No,No,3.9,Banashankari,Mess,South Indian,Delivery,150.0
Yes,No,3.9,Banashankari,Quick Bites,"Burger, Fast Food",Delivery,250.0
Yes,No,3.9,Banashankari,Quick Bites,"Pizza, Fast Food",Delivery,400.0
Yes,Yes,4.6,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",Delivery,300.0
No,No,3.8,Banashankari,Delivery,"North Indian, Continental, Italian",Delivery,200.0
Yes,No,3.6,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",Delivery,150.0
Yes,No,4.0,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",Delivery,225.0
Yes,No,3.7,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",Delivery,425.0
Yes,No,3.1,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",Delivery,150.0
No,No,3.7,Banashankari,Quick Bites,North Indian,Delivery,225.0
Yes,No,4.1,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",Delivery,75.0
No,No,4.3,Banashankari,Dessert Parlor,"Ice Cream, Desserts",Delivery,200.0
Yes,No,4.0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",Delivery,375.0
No,No,4.0,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",Delivery,225.0
Yes,No,3.9,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",Delivery,225.0
Yes,No,3.8,Banashankari,Quick Bites,"Biryani, Fast Food",Delivery,150.0
Yes,Yes,4.2,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",Delivery,400.0
No,No,3.6,Banashankari,Quick Bites,"Fast Food, Burger",Delivery,100.0
Yes,No,3.7,Banashankari,Dessert Parlor,"Desserts, Beverages",Delivery,200.0
No,No,4.2,Banashankari,Casual Dining,"Italian, North Indian, Mexican",Delivery,400.0
Yes,Yes,3.6,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",Delivery,400.0
Yes,No,3.8,Basavanagudi,Quick Bites,Chinese,Delivery,75.0
No,Yes,4.0,Banashankari,Casual Dining,"North Indian, Chinese",Delivery,425.0
No,No,3.7,Banashankari,"Bakery, Dessert Parlor",Bakery,Delivery,75.0
Yes,No,4.1,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",Delivery,200.0
Yes,No,3.6,Jayanagar,Quick Bites,South Indian,Delivery,50.0
No,No,4.1,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",Delivery,600.0
No,No,3.8,Banashankari,Bakery,"Bakery, Desserts",Delivery,150.0
Yes,No,3.2,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",Delivery,300.0
Yes,No,3.6,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",Delivery,250.0
No,No,4.1,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",Delivery,150.0
No,No,3.700448817952718,Banashankari,Quick Bites,North Indian,Delivery,75.0
