,rate
0,4.1
1,4.1
2,3.8
3,3.7
4,3.8
5,3.8
6,3.6
7,4.6
8,4.0
9,4.2
10,4.1
11,4.2
12,4.2
13,4.0
14,3.8
15,3.8
16,3.9
17,3.8
18,3.9
19,3.1
20,3.0
21,3.7
22,3.6
23,3.6
24,3.7
25,3.2
26,3.8
27,3.3
28,3.3
29,3.8
30,4.0
31,2.8
32,3.9
33,3.9
34,4.2
35,3.9
36,2.8
37,4.2
38,4.4
39,4.0
40,3.8
41,3.9
42,3.9
43,3.9
44,4.6
45,3.8
46,3.6
47,4.0
48,3.7
49,3.1
50,3.7
51,4.1
52,4.3
53,4.0
54,4.0
55,3.9
56,3.8
57,4.2
58,3.6
59,3.7
60,4.2
61,3.6
62,3.8
63,4.0
64,3.7
65,4.1
66,3.6
67,4.1
68,3.8
69,3.2
70,3.6
71,4.1
72,3.700448817952718
73,2.9
74,3.6
75,3.700448817952718
76,4.1
77,3.6
78,3.7
79,3.8
80,3.8
81,4.2
82,3.5
83,3.8
84,3.700448817952718
85,4.0
86,4.4
87,3.5
88,3.5
89,3.7
90,3.700448817952718
91,3.700448817952718
92,3.700448817952718
93,3.2
94,2.6
95,3.3
96,3.8
97,3.7
98,3.7
99,3.8
100,3.5
101,3.7
102,3.5
103,3.8
104,3.2
105,3.5
106,3.4
107,3.700448817952718
108,3.2
109,3.2
110,3.700448817952718
111,3.1
112,3.4
113,3.700448817952718
114,3.700448817952718
115,3.700448817952718
116,3.700448817952718
117,3.700448817952718
118,3.700448817952718
119,3.1
120,4.1
121,3.3
122,3.1
123,3.3
124,2.9
125,3.700448817952718
126,3.700448817952718
127,3.3
128,3.700448817952718
129,3.700448817952718
130,3.700448817952718
131,3.700448817952718
132,3.700448817952718
133,3.700448817952718
134,3.700448817952718
135,3.700448817952718
136,3.700448817952718
137,3.700448817952718
138,3.700448817952718
139,3.700448817952718
140,3.700448817952718
141,3.700448817952718
142,3.700448817952718
143,3.700448817952718
144,3.700448817952718
145,4.0
146,3.0
147,3.9
148,4.1
149,3.8
150,3.8
151,3.8
152,4.1
153,3.8
154,3.700448817952718
155,4.1
156,3.7
157,3.9
158,3.0
159,3.7
160,3.3
161,3.3
162,3.6
163,3.3
164,4.6
165,4.1
166,4.1
167,3.7
168,3.2
169,4.0
170,3.7
171,3.5
172,3.8
